Address,NERD Amount
0xbD7C18675Ee602ae351976Eed72d73a35A879046,0.9700
0xbEacB6DEe5E96e7aEAAb8E33bE481d7A77930734,0.0069
0xbdcf7993B5674E00ccfEc1F3D7Ddb6EB7914ff78,50.0044
0xc1E3cAD12B054351Ef1EeCc8B539156cdc0B9587,0.0261
0xc1cAd6df277106222Dd45cF5B0300fBd4d1193D5,0.0945
0xc31Fd01a027fB3732Ac98F673e8eb1923819C378,2.3400
0xc42B499f9609f3C38E2f076A4885Fc50E73d726b,0.2348
0xcAA654125AD2e1840c53964F2A7896688fCa12e9,0.0004
0xce08958266f58b638527b224d8b7141a3ff9c77e,0.1455
0xce9f2952F203CEEdd1c3E8E8A5a23B4ff0823E60,0.0075
0xd265408112fdD1eEdAb2E5Ae5d137a90313574bD,1.0932
0xd4cF19f76addb489d079D0f60F41D6E91E7c79E1,0.0123
0xd5a9C4a92dDE274e126f82b215Fccb511147Cd8e,0.1542
0xd61414451bE387Ef52A34BCdFe4E6684e2e8B438,0.0009
0xd7C13e9104064305837A8738c8bfa8111f5fe93E,1.2805
0xdCcFa6CD11EC6F2e6F5a9d8aEfB47d25da9FCd4F,0.0723
0xe13c9eC160bEB603D3E679F975222581224cfdb4,1.9455
0xe2B698C2e39870a29218fff12C20a3E87784D71B,7.9041
0xe37bc9d6CDd0996b1ACE7345305FBe4a8584F0A3,0.8435
0xe5dc0251EDa9612cF8f92815656Aac5108a09516,47.7630
0xeA3Fe7A3544314dd7D2CF695E3862477Ed2b42b7,10.1246
0xeCbc03D79F44BcF0b26c002330e217FA1113D821,0.9286
0xef80D1b797ab9faF01DAA46341D99eFfDe776E24,0.0670
0xefcc705D4e333Ede425E6dCcad320A27508290Fc,5.9290
0xf0B3Ed341884F2383D76BaDf024F314e12C9a745,9.1213
0xf53b2965d13404e5d13Ce40c7448F8E13F04034B,0.1291
0xf7B14D1c8a3eCa7A4d7cc8F9C8cA5B0d36822865,1.3184
0xf7Db1796EE8603f3a5De43793581E038027fB9fb,0.4902
0xfBf2c698B651b8745f871A92CB3E232701D5Fd29,2.5349
0xff3B3BF28221C7dF5BE16052159e812380b45e03,6.0000
